cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,E,status,machine_type,file_name,E1,E2,E3,E4
2.8,3.4,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.811283142131288,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.4_cz=8.6.log,-0.183878627809463,-0.4582492176559753,-0.5008872671460267,-0.6682680295198224
2.8,3.4,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-1.921403616957832,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.4_cz=8.7.log,-0.1691233576566446,-0.5696611080784351,-0.4876731615513563,-0.6949459896713961
2.8,3.4,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-1.967203689418966,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.4_cz=8.8.log,-0.1557090764108579,-0.6349265407188796,-0.465715331636602,-0.7108527406526264
2.8,3.5,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.7689456699008588,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.5_cz=8.6.log,-0.1753400992020033,-0.5563120878650807,-0.4972947724163532,-0.5399987104174215
2.8,3.5,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-1.8711011603591032,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.5_cz=8.7.log,-0.1614940910658333,-0.6255615814588964,-0.4903745921037625,-0.5936708957306109
2.8,3.5,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-1.9143560522061307,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.5_cz=8.8.log,-0.1490781782194972,-0.659930304158479,-0.4723317970638163,-0.6330157727643382
1.5,1.5,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.851385987218237,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.5_cz=8.1.log,-0.5326850813871715,-1.1350206352071837,-0.6739815080945846,-0.5096987625292968
1.5,1.5,8.2,180,0,3.8,1.3,1.2,4.4,0.0,-2.824590055126464,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.5_cz=8.2.log,-0.5419214010471478,-1.119997418281855,-0.6639821362332441,-0.498689099564217
1.5,1.5,8.3,180,0,3.8,1.3,1.2,4.4,0.0,-2.746702258926234,Done,2,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.5_cz=8.3.log,-0.5386194434395293,-1.0887762857310008,-0.6359211440139916,-0.4833853857417125
1.5,1.6,8.1,180,0,3.8,1.3,1.2,4.4,0.0,-2.9037542067526374,Done,1,C5_theta1=180_theta2=0_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=1.5_cy=1.6_cz=8.1.log,-0.5688729555695318,-1.1524045447295066,-0.6620412477932405,-0.5204354586603586
