theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
20,4.1,0.0,-1.6,4.3,0.0,-1.9743202802783344,-0.2462179812428075,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.6_b2=4.3_z2=0.0_3.log
20,4.2,0.0,-1.8,4.1,0.0,-2.2077671779552475,-0.2141534752590814,2,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.8_b2=4.1_z2=0.0_3.log
20,4.2,0.0,-1.8,4.2,0.0,-2.123298684382462,-0.2022182350629009,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.8_b2=4.2_z2=0.0_3.log
20,4.2,0.0,-1.8,4.3,0.0,-2.0270982638612622,-0.1910460470389807,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.8_b2=4.3_z2=0.0_3.log
20,4.2,0.0,-1.7,4.1,0.0,-2.1833520188956754,-0.2339131376502337,2,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.7_b2=4.1_z2=0.0_3.log
20,4.2,0.0,-1.7,4.2,0.0,-2.081824038454215,-0.2204034748428966,2,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.7_b2=4.2_z2=0.0_3.log
20,4.2,0.0,-1.7,4.3,0.0,-1.9743202802783344,-0.2075972507736878,2,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.7_b2=4.3_z2=0.0_3.log
20,4.2,0.0,-1.6,4.1,0.0,-2.1374885679979343,-0.2554743812506785,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.6_b2=4.1_z2=0.0_3.log
20,4.2,0.0,-1.6,4.2,0.0,-2.024994222825626,-0.2404229263629531,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.6_b2=4.2_z2=0.0_3.log
20,4.2,0.0,-1.6,4.3,0.0,-1.9107008064165711,-0.226042907233932,1,Done,C5_theta=20_a1=4.2_z1=0.0_a2=-1.6_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.6,4.2,0.0,-0.2894967184256529,-2.103084077258245,2,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.6_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.7,4.2,0.0,-0.2640737782930955,-2.1055206985765835,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.7_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.8,4.2,0.0,-0.2412041763600427,-2.100523836474167,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.8_b2=4.2_z2=0.0_3.log
0,3.8,1.3,1.8,4.3,0.0,-0.2278400958748534,-2.163254128594417,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.8_b2=4.3_z2=0.0_3.log
0,3.8,1.3,1.8,4.4,0.0,-0.2150621097680414,-2.157049937246484,1,Done,C5_theta=0_a1=3.8_z1=1.3_a2=1.8_b2=4.4_z2=0.0_3.log
0,3.9,1.3,1.6,4.2,0.0,-0.2640737782930955,-2.0924113871878944,1,Done,C5_theta=0_a1=3.9_z1=1.3_a2=1.6_b2=4.2_z2=0.0_3.log
